gen,low unemployment,Child care friendly,low land prices,low rental prices,high income,high purchasing power,low industry,low rurality,low population density,highways,airports,railway stations,public transport,high capacity of hospitals,medical care,pharmacy,elementary school,supermarkt,Broadband access,less road accidents,high coastal area,high green spaces,high near-natural areas,high open public spaces,better air quality,low avg age,high cultural diversity,high avg temperature,high sunshine,more restaurants,more shopping malls,more associations,more sports and leisure activities,low tourism,more business places,high avg age,high tourism,high rurality,high industry
ideal_city,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Verden,4.042308822351025,3.005518328734726,1.1993432990581527,2.3809523809523814,2.5469296909952885,3.962166271078638,3.2217810550198527,0.3252977054893988,1.9818647133232024,0.5547106174245181,1.9707065977601808,0.351123595505618,8.809523809523808,0.6819019535569482,1.3181700697854744,1.349301353364742,1.9639739264970704,1.6654332819760036,5.867492850333652,1.6403086893687684,0.7003891050583658,1.263568199658934,0.9939890111056472,1.8547899064694064,0.6112638397228288,5.341094294697738,2.433962264150944,7.32569106870783,2.2937219390466788,1.9752264647776967,0.0,1.9580860928559456,4.404634203974128,1.1673958209123174,3.3843701016962724,4.087452471482893,0.5447336636918956,3.443,2.2048524262131064
Flensburg,0.9735937198092413,4.14465904611746,0.0,3.142857142857144,2.943571581642435,1.2811653557965292,0.0,0.0,0.1512785149090874,0.6563199019261579,0.1459914433680407,0.0,10.0,3.368964246221895,5.038831430088468,5.529689521678842,6.616706091070372,6.316870017694314,9.793454083253891,2.1891264412413296,5.012380615493456,0.3139972389897949,0.3103495855283409,0.0934122344598975,0.016464390215777,7.780331384209106,4.735849056603774,5.978741928462599,0.0,2.998735915123168,0.5532675181311822,1.209448168460531,2.912287757512264,1.7277833863912646,4.826591884707236,1.8441064638783309,0.3517397323283298,0.0,0.0
Kiel,1.144023208570217,3.854946787544343,0.2672417112711309,2.3809523809523814,4.373700574848767,1.4608522982888887,0.0,0.0,0.0976332106531026,1.331093153726811,0.529295560289125,0.0,10.0,4.961297456690012,7.605012433044269,7.965670803925988,6.893359531485473,7.140551813737222,9.77121067683508,1.270171665091628,3.1623629288998933,0.9409089678694204,0.0742617168289999,0.065334347914566,0.0728387048599341,8.110121631190522,3.6226415094339615,6.505840528186897,3.725178552447093,2.7216487901033712,0.3026603357789085,1.9081610954759896,2.8636781159404188,2.397277256094365,3.4948687605319817,1.5589353612167298,0.2357912885297424,0.0,0.0
Lübeck,1.255221843912781,4.089475758770201,0.7904778176433738,1.8367346938775515,3.2822022460082017,2.173742262763533,3.3138856476079344,0.0,0.2808749339450247,1.1903091204773282,0.747164496356805,0.0,9.88095238095238,1.4670106892738666,4.653930642712727,4.473497900125432,5.6637886851961365,5.163334169069408,9.661582459485224,0.6654357926247338,4.725857799787761,1.2291909157350511,0.5681958896015908,0.2298919913880228,0.313825632398005,4.924261213005626,3.3773584905660385,6.471740549952838,2.438284884162365,2.2679880124531997,0.5378880109418571,1.5710881414728584,1.995986741256748,1.2687989328477156,3.0448110081995274,4.496197718631181,0.4978983322945974,0.0,2.1435717858929464
Neumünster,1.0127026360488096,3.056759952700039,1.015287835564333,3.142857142857144,2.510724369602568,1.9183133987992744,3.429951690821256,0.0,0.2466358035124443,0.4924959491362803,0.9189514866393592,0.0,10.0,3.129377073350535,3.1651586747225897,5.031800593767274,5.5865623831281805,5.108283561366295,9.71083571655545,0.3874431838960057,0.8241952599929254,0.9438865278943236,0.1706356647290456,0.1559861374503035,0.0344420399925089,5.42936020621382,4.188679245283019,6.22397155916709,2.773270027991356,2.9253046180713542,0.7264938089591145,0.2870492226945318,2.385879856852008,3.587915515463706,3.690101566567807,4.00190114068441,0.1342538590122846,0.0,2.071035517758879
Dithmarschen,2.1888049004157875,1.4111154907370906,2.1948134092346616,3.142857142857144,2.590842271874517,2.494432292393851,4.095169430425378,0.1507402422611036,3.767206240744551,0.2092581512405277,0.421866671510284,0.2596053997923156,8.452380952380953,2.0014743826022854,0.9591395290092516,0.7323587786645014,0.9149610396045738,0.8191573056660464,6.841436288528758,1.6493147135125847,1.595330739299611,1.2256719811601655,3.580660112011718,3.6282707740661744,1.1950787686081803,3.693107624955591,1.509433962264151,6.579119204817528,3.45255389474644,4.767759139456308,0.1867061447028906,0.8840062553812165,3.632144934247412,0.1841160537293666,3.8294101534132,5.750950570342208,2.8873952924105173,7.43,1.7346173086543268
Herzogtum Lauenburg,2.6089776359184738,3.5553803705163576,1.2092699076494162,2.3809523809523814,2.5051601042171856,4.061935123563085,5.563173359451517,0.3087951475048249,2.1986618307707926,0.312467993756478,0.8570856104167492,0.2460629921259842,9.285714285714285,1.076299299668264,0.9511757822524884,1.0482249256428782,0.9260963916852688,1.312827592874781,9.524944391483952,2.432328527758312,1.379554297842236,1.2776439379584763,1.1359672243666177,2.131846180220019,1.5586828032648468,4.933864348892127,2.169811320754717,6.423855474134803,2.3992083457767515,0.4137432178130349,0.0416411928038297,0.9870050939546404,3.347486473307616,1.344055139144776,2.9823793008630064,4.4866920152091225,0.4674614272694751,3.6270000000000007,1.276888444222111
Nordfriesland,2.74135889978516,3.5376428852975947,1.386474877634602,3.142857142857144,1.9806528988694767,2.720137757713967,5.313376987839102,0.1470202152796009,4.39365775617223,0.0259590897431689,0.0,0.2278942570647219,7.619047619047619,1.4854404718024328,0.8383070209215762,0.5319241855183856,0.6307942195951037,1.302312627813912,6.957419764855419,0.1853498972026654,1.354793066855324,2.2959694664753805,3.966226662751328,4.245759013539925,1.5869461420932007,3.9300171011697937,1.69811320754717,6.280200246680695,2.096618259676758,10.0,0.0,1.9664199362948696,4.694378198631839,0.0178269305396623,6.9444851249324895,5.503802281368818,8.10020169458899,7.618,1.3369184592296146
Ostholstein,2.616536574708534,3.843121797398502,0.868803204807211,1.8367346938775515,1.5074271663978511,3.229810272878176,5.514563106796116,0.3379601689800845,2.4034717359585365,0.3991543946397219,0.3209109100532643,0.3408316291751875,8.214285714285714,3.398451898267601,1.570248753155915,1.2358698386067153,0.8992016558249558,1.4172472477076632,7.262472195741978,0.7558118408012895,1.3477184294304916,2.8005305470589823,1.5179604385651464,2.33387027741517,2.1763401591235163,1.9644305762391707,1.2264150943396228,6.362185300732786,3.79528348206377,6.064816611032656,0.0,0.8840278484385236,3.698695444591437,0.1096828643335376,3.777773930149369,7.642585551330795,4.070953293471666,3.314,1.288144072036018
Pinneberg,2.6936772373608333,3.0784391013007486,0.728838479311069,1.8367346938775515,3.1232447186474315,4.3487566125254045,4.229337304542069,1.364190012180268,0.6760893334841502,0.3538946410337105,1.7718621562663557,0.1998401278976818,9.523809523809524,1.0062661260597126,2.879999140993234,2.9247367678327265,4.174995373430271,3.3266060716639547,9.014934858595488,2.2601105082402397,1.9313760169791296,0.8957041929458894,0.6872127621183872,0.6133036645956331,0.5328282828282825,5.175340425930434,2.7169811320754724,6.664731916128565,2.4317046380611598,1.4578370257554163,0.1307681982633724,0.3436648741486074,2.1852140345105755,1.843954333960332,3.678986236410385,4.249049429657792,0.3258241556037506,0.8210000000000002,1.6795897948974483
Plön,3.2647796347595484,3.602680331099722,1.1917231905211645,2.3809523809523814,2.2343157269449545,3.2788507779897933,6.769964243146601,0.2929636411195397,2.9278653328508946,0.1603353637217451,0.3070103155657901,0.2080732417811069,8.214285714285714,0.9104312569111686,0.9660195422733666,0.8666830608450271,0.7548502944978326,1.1283787041590727,7.801080394026058,1.8467816041073957,3.5090201627166606,2.439704409495709,3.2975881747326192,2.8979364624230146,1.2117793568236757,2.858373884016716,1.207547169811321,6.234491765218023,3.221890960260379,2.7895016295337096,0.0,1.208325675570781,5.698169940526405,0.3898685529243009,3.5146620551066534,6.644486692015209,1.5803245507431027,3.823,1.0492746373186592
